url,people,rate
https://leetcode.cn/problems/two-sum,23727,0.532
https://leetcode.cn/problems/palindrome-number,9114,0.559
https://leetcode.cn/problems/roman-to-integer,7394,0.625
https://leetcode.cn/problems/longest-common-prefix,7396,0.437
https://leetcode.cn/problems/valid-parentheses,10581,0.439
https://leetcode.cn/problems/merge-two-sorted-lists,7933,0.663
https://leetcode.cn/problems/remove-duplicates-from-sorted-array,9579,0.557
https://leetcode.cn/problems/remove-element,9328,0.592
https://leetcode.cn/problems/find-the-index-of-the-first-occurrence-in-a-string,6696,0.432
https://leetcode.cn/problems/search-insert-position,8273,0.457
https://leetcode.cn/problems/length-of-last-word,5248,0.446
https://leetcode.cn/problems/plus-one,6232,0.454
https://leetcode.cn/problems/add-binary,3266,0.53
https://leetcode.cn/problems/sqrtx,4175,0.385
https://leetcode.cn/problems/climbing-stairs,6996,0.543
https://leetcode.cn/problems/remove-duplicates-from-sorted-list,3967,0.536
https://leetcode.cn/problems/merge-sorted-array,7239,0.531
https://leetcode.cn/problems/binary-tree-inorder-traversal,4654,0.764
https://leetcode.cn/problems/same-tree,3388,0.607
https://leetcode.cn/problems/symmetric-tree,4711,0.596
https://leetcode.cn/problems/maximum-depth-of-binary-tree,5657,0.773
https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree,2287,0.78
https://leetcode.cn/problems/balanced-binary-tree,2799,0.581
https://leetcode.cn/problems/minimum-depth-of-binary-tree,4149,0.534
https://leetcode.cn/problems/path-sum,3397,0.539
https://leetcode.cn/problems/pascals-triangle,3475,0.756
https://leetcode.cn/problems/pascals-triangle-ii,2187,0.689
https://leetcode.cn/problems/best-time-to-buy-and-sell-stock,6892,0.577
https://leetcode.cn/problems/valid-palindrome,3271,0.468
https://leetcode.cn/problems/single-number,4477,0.731
https://leetcode.cn/problems/linked-list-cycle,5555,0.521
https://leetcode.cn/problems/binary-tree-preorder-traversal,3859,0.715
https://leetcode.cn/problems/binary-tree-postorder-traversal,2943,0.764
https://leetcode.cn/problems/read-n-characters-given-read4,138,0.546
https://leetcode.cn/problems/intersection-of-two-linked-lists,4145,0.644
https://leetcode.cn/problems/missing-ranges,281,0.358
https://leetcode.cn/problems/excel-sheet-column-title,1213,0.444
https://leetcode.cn/problems/majority-element,4327,0.663
https://leetcode.cn/problems/two-sum-iii-data-structure-design,163,0.427
https://leetcode.cn/problems/excel-sheet-column-number,1422,0.714
https://leetcode.cn/problems/combine-two-tables,2306,0.743
https://leetcode.cn/problems/employees-earning-more-than-their-managers,1211,0.686
https://leetcode.cn/problems/duplicate-emails,1122,0.787
https://leetcode.cn/problems/customers-who-never-order,1233,0.663
https://leetcode.cn/problems/reverse-bits,1398,0.722
https://leetcode.cn/problems/number-of-1-bits,2191,0.769
https://leetcode.cn/problems/valid-phone-numbers,208,0.335
https://leetcode.cn/problems/tenth-line,220,0.439
https://leetcode.cn/problems/delete-duplicate-emails,893,0.676
https://leetcode.cn/problems/rising-temperature,1162,0.535
https://leetcode.cn/problems/happy-number,3216,0.638
https://leetcode.cn/problems/remove-linked-list-elements,3633,0.559
https://leetcode.cn/problems/isomorphic-strings,1753,0.492
https://leetcode.cn/problems/reverse-linked-list,12315,0.739
https://leetcode.cn/problems/contains-duplicate,3906,0.551
https://leetcode.cn/problems/contains-duplicate-ii,1998,0.456
https://leetcode.cn/problems/count-complete-tree-nodes,2018,0.813
https://leetcode.cn/problems/implement-stack-using-queues,5754,0.653
https://leetcode.cn/problems/invert-binary-tree,4636,0.8
https://leetcode.cn/problems/summary-ranges,1374,0.549
https://leetcode.cn/problems/power-of-two,2274,0.498
https://leetcode.cn/problems/implement-queue-using-stacks,2559,0.678
https://leetcode.cn/problems/palindrome-linked-list,3855,0.539
https://leetcode.cn/problems/valid-anagram,3920,0.662
https://leetcode.cn/problems/shortest-word-distance,191,0.669
https://leetcode.cn/problems/strobogrammatic-number,182,0.474
https://leetcode.cn/problems/meeting-rooms,252,0.582
https://leetcode.cn/problems/binary-tree-paths,2176,0.707
https://leetcode.cn/problems/add-digits,1501,0.706
https://leetcode.cn/problems/ugly-number,1224,0.503
https://leetcode.cn/problems/palindrome-permutation,204,0.709
https://leetcode.cn/problems/missing-number,2493,0.668
https://leetcode.cn/problems/closest-binary-search-tree-value,224,0.542
https://leetcode.cn/problems/first-bad-version,2613,0.455
https://leetcode.cn/problems/move-zeroes,7352,0.635
https://leetcode.cn/problems/word-pattern,1895,0.446
https://leetcode.cn/problems/nim-game,1128,0.704
https://leetcode.cn/problems/flip-game,129,0.728
https://leetcode.cn/problems/range-sum-query-immutable,2271,0.773
https://leetcode.cn/problems/power-of-three,1002,0.512
https://leetcode.cn/problems/counting-bits,2353,0.787
https://leetcode.cn/problems/power-of-four,1169,0.531
https://leetcode.cn/problems/reverse-string,4016,0.8
https://leetcode.cn/problems/reverse-vowels-of-a-string,1590,0.547
https://leetcode.cn/problems/moving-average-from-data-stream,217,0.729
