url,people,rate
https://leetcode.cn/problems/median-of-two-sorted-arrays,7506,0.419
https://leetcode.cn/problems/regular-expression-matching,2337,0.307
https://leetcode.cn/problems/merge-k-sorted-lists,4723,0.589
https://leetcode.cn/problems/reverse-nodes-in-k-group,4335,0.678
https://leetcode.cn/problems/substring-with-concatenation-of-all-words,1442,0.392
https://leetcode.cn/problems/longest-valid-parentheses,2489,0.376
https://leetcode.cn/problems/sudoku-solver,1725,0.676
https://leetcode.cn/problems/first-missing-positive,2467,0.439
https://leetcode.cn/problems/trapping-rain-water,5131,0.632
https://leetcode.cn/problems/wildcard-matching,955,0.339
https://leetcode.cn/problems/n-queens,3284,0.739
https://leetcode.cn/problems/n-queens-ii,1007,0.823
https://leetcode.cn/problems/permutation-sequence,1503,0.536
https://leetcode.cn/problems/valid-number,966,0.276
https://leetcode.cn/problems/text-justification,933,0.534
https://leetcode.cn/problems/minimum-window-substring,3820,0.455
https://leetcode.cn/problems/largest-rectangle-in-histogram,2149,0.454
https://leetcode.cn/problems/maximal-rectangle,1258,0.55
https://leetcode.cn/problems/scramble-string,467,0.471
https://leetcode.cn/problems/distinct-subsequences,1372,0.517
https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iii,1669,0.602
https://leetcode.cn/problems/binary-tree-maximum-path-sum,2135,0.454
https://leetcode.cn/problems/word-ladder-ii,511,0.372
https://leetcode.cn/problems/word-ladder,1088,0.485
https://leetcode.cn/problems/palindrome-partitioning-ii,652,0.498
https://leetcode.cn/problems/candy,1810,0.494
https://leetcode.cn/problems/word-break-ii,1054,0.583
https://leetcode.cn/problems/max-points-on-a-line,836,0.4
https://leetcode.cn/problems/find-minimum-in-rotated-sorted-array-ii,1363,0.523
https://leetcode.cn/problems/read-n-characters-given-read4-ii-call-multiple-times,107,0.599
https://leetcode.cn/problems/dungeon-game,1472,0.486
https://leetcode.cn/problems/department-top-three-salaries,1147,0.537
https://leetcode.cn/problems/best-time-to-buy-and-sell-stock-iv,1557,0.486
https://leetcode.cn/problems/word-search-ii,786,0.434
https://leetcode.cn/problems/shortest-palindrome,506,0.403
https://leetcode.cn/problems/the-skyline-problem,456,0.552
https://leetcode.cn/problems/contains-duplicate-iii,658,0.304
https://leetcode.cn/problems/basic-calculator,1109,0.426
https://leetcode.cn/problems/number-of-digit-one,671,0.494
https://leetcode.cn/problems/sliding-window-maximum,3733,0.491
https://leetcode.cn/problems/strobogrammatic-number-iii,88,0.49
https://leetcode.cn/problems/trips-and-users,710,0.409
https://leetcode.cn/problems/paint-house-ii,278,0.642
https://leetcode.cn/problems/alien-dictionary,195,0.37
https://leetcode.cn/problems/closest-binary-search-tree-value-ii,140,0.663
https://leetcode.cn/problems/integer-to-english-words,454,0.366
https://leetcode.cn/problems/expression-add-operators,224,0.468
https://leetcode.cn/problems/find-median-from-data-stream,864,0.539
https://leetcode.cn/problems/best-meeting-point,69,0.612
https://leetcode.cn/problems/serialize-and-deserialize-binary-tree,1427,0.591
https://leetcode.cn/problems/remove-invalid-parentheses,614,0.553
https://leetcode.cn/problems/smallest-rectangle-enclosing-black-pixels,67,0.673
https://leetcode.cn/problems/number-of-islands-ii,136,0.421
https://leetcode.cn/problems/range-sum-query-2d-mutable,86,0.641
https://leetcode.cn/problems/burst-balloons,693,0.7
https://leetcode.cn/problems/count-of-smaller-numbers-after-self,851,0.436
https://leetcode.cn/problems/shortest-distance-from-all-buildings,99,0.475
https://leetcode.cn/problems/create-maximum-number,313,0.421
https://leetcode.cn/problems/count-of-range-sum,368,0.405
https://leetcode.cn/problems/longest-increasing-path-in-a-matrix,887,0.52
https://leetcode.cn/problems/patching-array,206,0.53
https://leetcode.cn/problems/reconstruct-itinerary,666,0.466
https://leetcode.cn/problems/self-crossing,172,0.425
https://leetcode.cn/problems/palindrome-pairs,256,0.38
https://leetcode.cn/problems/data-stream-as-disjoint-intervals,425,0.669
https://leetcode.cn/problems/russian-doll-envelopes,864,0.364
https://leetcode.cn/problems/rearrange-string-k-distance-apart,96,0.372
https://leetcode.cn/problems/max-sum-of-rectangle-no-larger-than-k,272,0.482
https://leetcode.cn/problems/insert-delete-getrandom-o1-duplicates-allowed,246,0.421
https://leetcode.cn/problems/perfect-rectangle,334,0.461
https://leetcode.cn/problems/frog-jump,587,0.461
https://leetcode.cn/problems/trapping-rain-water-ii,321,0.572
https://leetcode.cn/problems/split-array-largest-sum,653,0.605
https://leetcode.cn/problems/minimum-unique-word-abbreviation,36,0.498
https://leetcode.cn/problems/strong-password-checker,167,0.388
https://leetcode.cn/problems/word-squares,50,0.626
https://leetcode.cn/problems/serialize-and-deserialize-n-ary-tree,89,0.695
https://leetcode.cn/problems/encode-n-ary-tree-to-binary-tree,51,0.747
https://leetcode.cn/problems/all-oone-data-structure,320,0.466
https://leetcode.cn/problems/k-th-smallest-in-lexicographical-order,310,0.424
https://leetcode.cn/problems/arithmetic-slices-ii-subsequence,219,0.544
https://leetcode.cn/problems/poor-pigs,253,0.667
https://leetcode.cn/problems/lfu-cache,749,0.472
https://leetcode.cn/problems/optimal-account-balancing,46,0.549
https://leetcode.cn/problems/count-the-repetitions,266,0.417
https://leetcode.cn/problems/encode-string-with-shortest-length,46,0.592
https://leetcode.cn/problems/concatenated-words,272,0.52
https://leetcode.cn/problems/largest-palindrome-product,179,0.623
https://leetcode.cn/problems/sliding-window-median,537,0.429
https://leetcode.cn/problems/smallest-good-base,152,0.588
https://leetcode.cn/problems/zuma-game,188,0.472
https://leetcode.cn/problems/robot-room-cleaner,40,0.739
https://leetcode.cn/problems/reverse-pairs,424,0.369
https://leetcode.cn/problems/the-maze-iii,97,0.442
https://leetcode.cn/problems/ipo,452,0.452
https://leetcode.cn/problems/freedom-trail,404,0.532
https://leetcode.cn/problems/super-washing-machines,218,0.512
https://leetcode.cn/problems/word-abbreviation,43,0.603
https://leetcode.cn/problems/remove-boxes,150,0.608
https://leetcode.cn/problems/split-array-with-equal-sum,54,0.392
https://leetcode.cn/problems/student-attendance-record-ii,354,0.58
https://leetcode.cn/problems/find-the-closest-palindrome,263,0.305
https://leetcode.cn/problems/maximum-vacation-days,42,0.541
https://leetcode.cn/problems/median-employee-salary,280,0.571
https://leetcode.cn/problems/find-median-given-frequency-of-numbers,159,0.467
https://leetcode.cn/problems/find-cumulative-salary-of-an-employee,199,0.447
https://leetcode.cn/problems/erect-the-fence,140,0.603
https://leetcode.cn/problems/design-in-memory-file-system,58,0.439
https://leetcode.cn/problems/tag-validator,196,0.52
https://leetcode.cn/problems/non-negative-integers-without-consecutive-ones,332,0.502
https://leetcode.cn/problems/human-traffic-of-stadium,645,0.481
https://leetcode.cn/problems/average-salary-departments-vs-company,160,0.423
https://leetcode.cn/problems/students-report-by-geography,95,0.616
https://leetcode.cn/problems/k-inverse-pairs-array,220,0.508
