url,people,rate
https://leetcode.cn/problems/add-two-numbers,13156,0.432
https://leetcode.cn/problems/longest-substring-without-repeating-characters,15056,0.395
https://leetcode.cn/problems/longest-palindromic-substring,8312,0.38
https://leetcode.cn/problems/zigzag-conversion,5039,0.525
https://leetcode.cn/problems/reverse-integer,7572,0.354
https://leetcode.cn/problems/string-to-integer-atoi,4559,0.212
https://leetcode.cn/problems/container-with-most-water,6194,0.6
https://leetcode.cn/problems/integer-to-roman,3327,0.667
https://leetcode.cn/problems/3sum,6707,0.376
https://leetcode.cn/problems/3sum-closest,2763,0.448
https://leetcode.cn/problems/letter-combinations-of-a-phone-number,6027,0.59
https://leetcode.cn/problems/4sum,3233,0.367
https://leetcode.cn/problems/remove-nth-node-from-end-of-list,8683,0.47
https://leetcode.cn/problems/generate-parentheses,5112,0.776
https://leetcode.cn/problems/swap-nodes-in-pairs,5176,0.719
https://leetcode.cn/problems/divide-two-integers,1687,0.223
https://leetcode.cn/problems/next-permutation,3442,0.388
https://leetcode.cn/problems/search-in-rotated-sorted-array,5002,0.441
https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array,8145,0.43
https://leetcode.cn/problems/valid-sudoku,2829,0.633
https://leetcode.cn/problems/count-and-say,3395,0.607
https://leetcode.cn/problems/combination-sum,4239,0.724
https://leetcode.cn/problems/combination-sum-ii,2961,0.595
https://leetcode.cn/problems/multiply-strings,2213,0.443
https://leetcode.cn/problems/jump-game-ii,3881,0.447
https://leetcode.cn/problems/permutations,6178,0.79
https://leetcode.cn/problems/permutations-ii,3082,0.656
https://leetcode.cn/problems/rotate-image,4893,0.755
https://leetcode.cn/problems/group-anagrams,3099,0.678
https://leetcode.cn/problems/powx-n,2282,0.381
https://leetcode.cn/problems/maximum-subarray,7492,0.552
https://leetcode.cn/problems/spiral-matrix,4454,0.501
https://leetcode.cn/problems/jump-game,5599,0.433
https://leetcode.cn/problems/merge-intervals,4751,0.497
https://leetcode.cn/problems/insert-interval,1673,0.427
https://leetcode.cn/problems/spiral-matrix-ii,3861,0.715
https://leetcode.cn/problems/rotate-list,3296,0.414
https://leetcode.cn/problems/unique-paths,4606,0.68
https://leetcode.cn/problems/unique-paths-ii,3307,0.412
https://leetcode.cn/problems/minimum-path-sum,3667,0.699
https://leetcode.cn/problems/simplify-path,1800,0.447
https://leetcode.cn/problems/edit-distance,3344,0.628
https://leetcode.cn/problems/set-matrix-zeroes,2085,0.651
https://leetcode.cn/problems/search-a-2d-matrix,3200,0.493
https://leetcode.cn/problems/sort-colors,3851,0.608
https://leetcode.cn/problems/combinations,3136,0.77
https://leetcode.cn/problems/subsets,4596,0.812
https://leetcode.cn/problems/word-search,2799,0.466
https://leetcode.cn/problems/remove-duplicates-from-sorted-array-ii,2542,0.615
https://leetcode.cn/problems/search-in-rotated-sorted-array-ii,1538,0.41
https://leetcode.cn/problems/remove-duplicates-from-sorted-list-ii,3116,0.541
https://leetcode.cn/problems/partition-list,2325,0.645
https://leetcode.cn/problems/gray-code,937,0.754
https://leetcode.cn/problems/subsets-ii,2436,0.635
https://leetcode.cn/problems/decode-ways,2401,0.335
https://leetcode.cn/problems/reverse-linked-list-ii,4025,0.559
https://leetcode.cn/problems/restore-ip-addresses,2710,0.589
https://leetcode.cn/problems/unique-binary-search-trees-ii,1111,0.738
